Queue_size;Time
1;2.5717999935150146
0;3.7830936908721924
1;8.21910834312439
0;9.401335954666138
1;10.096669673919678
1;10.816100835800171
0;11.164427042007446
0;12.418445348739624
1;12.449451923370361
1;12.923654556274414
0;13.596168041229248
1;14.05008578300476
0;14.776564836502075
0;15.137226104736328
1;15.759887456893921
0;17.04151201248169
1;17.940610647201538
1;18.824944972991943
0;19.0150408744812
1;19.205103874206543
1;19.205103874206543
1;19.26820707321167
2;19.86607313156128
2;20.14867115020752
1;20.322284936904907
0;20.888610124588013
0;21.3439679145813
0;21.844545125961304
1;22.503243923187256
1;22.706343173980713
1;23.666917324066162
0;23.730113983154297
1;23.730113983154297
0;24.2209370136261
1;24.39193558692932
0;24.90638041496277
0;24.937896966934204
0;25.534334659576416
1;26.515932321548462
1;26.875089645385742
0;27.594817876815796
1;28.017934799194336
1;28.049636602401733
0;28.72045660018921
1;28.83031916618347
0;29.444995164871216
0;29.555564880371094
1;30.422624588012695
0;30.65976595878601
1;30.691771030426025
1;30.691771030426025
0;31.915891408920288
0;32.008039712905884
0;33.343284606933594
1;33.390859842300415
1;33.94400930404663
0;34.44917368888855
1;34.527931690216064
0;35.720720529556274
0;36.548176288604736
1;40.974714279174805
1;41.35136413574219
0;42.308505058288574
0;42.68526649475098
1;42.985267639160156
0;44.272960901260376
1;44.614903926849365
1;44.83578968048096
0;46.02686810493469
0;46.769211769104004
1;46.833203077316284
0;48.00970482826233
1;48.733091831207275
0;50.05095624923706
1;50.3829824924469
1;50.44467616081238
0;51.45482850074768
0;51.687976598739624
1;54.296786308288574
0;55.60985851287842
